Brand,Price,Mileage,Model
BMW,66666,0,X5
Audi,18500,185,Q7
Volkswagen,17900,192,Multivan
Mercedes-Benz,6950,190,Vito
Mercedes-Benz,105000,1,GLS 350
Renault,11999,107,Trafic
Renault,8000,189,Trafic
BMW,4600,280,730
Renault,7400,242,Megane
Audi,27500,147,Q7
Toyota,27500,85,Land Cruiser Prado
Volkswagen,9800,196,Caddy
Volkswagen,21000,173,Touareg
Audi,9000,199,A6 Allroad
Audi,55000,100,Q7
Mercedes-Benz,38900,65,GL 450
Renault,4000,180,Logan
Toyota,13300,152,Avensis
Volkswagen,34500,108,Touareg
BMW,24999,24,X1
Volkswagen,9750,130,Golf V
BMW,5900,390,318
Volkswagen,6500,290,T5 (Transporter) 
Volkswagen,11000,127,Golf VI
Mercedes-Benz,18800,320,S 500
Volkswagen,13700,222,T5 (Transporter) 
Volkswagen,8500,184,Caddy
Volkswagen,19100,4,Jetta
Renault,10200,70,Sandero
BMW,7800,310,520
Mercedes-Benz,9150,273,E-Class
Renault,7900,268,Grand Scenic
Toyota,72000,40,Land Cruiser 200
Mercedes-Benz,49500,52,ML 350
Volkswagen,45000,90,Phaeton
Renault,8300,141,Trafic
Renault,5100,156,Kangoo
Toyota,15300,116,Camry
Volkswagen,7300,142,Caddy
Toyota,14700,98,Auris
Mercedes-Benz,7900,197,Vito
Volkswagen,2900,243,Passat B5
BMW,3200,237,525
Mercedes-Benz,4400,160,E-Class
Toyota,20800,107,Land Cruiser Prado
Toyota,27800,98,Rav 4
Audi,16500,171,A6
Renault,10500,67,Scenic
Mitsubishi,16999,107,Pajero Wagon
Audi,35000,92,A6
Mercedes-Benz,21500,142,ML 350
Mercedes-Benz,15800,264,Vito
BMW,75555,30,550
Toyota,8900,180,Rav 4
Renault,6300,189,Kangoo
Mitsubishi,20500,109,Pajero Wagon
Volkswagen,11300,165,Caddy
Volkswagen,42500,63,Touareg
Toyota,28000,95,Highlander
Mitsubishi,17500,38,ASX
Volkswagen,7800,282,T4 (Transporter)
Mercedes-Benz,74999,1,GLE-Class
Renault,10200,39,Kangoo
BMW,22500,179,730
Mercedes-Benz,52777,60,CLS 350
Toyota,14250,127,Sienna
Toyota,26200,156,Land Cruiser Prado
Volkswagen,9800,299,T4 (Transporter)
Mercedes-Benz,47600,0,Vito
Volkswagen,8700,357,T4 (Transporter) 
BMW,30500,147,X5
Renault,11700,177,Laguna
Mercedes-Benz,6400,177,B 200
BMW,36400,80,X5
Audi,75000,0,Q7
Volkswagen,6000,195,Polo
Mercedes-Benz,4900,248,Vito
Mercedes-Benz,6999,288,E-Class
Volkswagen,9900,171,Caddy
Volkswagen,3500,189,Vento
BMW,1750,200,520
Renault,4600,230,Kangoo
Volkswagen,9800,220,Caddy
Renault,5950,135,Kangoo
Renault,7400,120,Kangoo
Audi,12800,217,A4
Volkswagen,9000,59,Polo
Mitsubishi,18600,52,Outlander
BMW,3900,340,525
Audi,92222,0,Q7
Volkswagen,5400,314,T4 (Transporter)
Audi,16000,250,A6
Volkswagen,3500,304,Touran
Mercedes-Benz,6500,270,E-Class
Mercedes-Benz,7000,300,E-Class
Renault,10499,121,Megane
Renault,13900,111,Koleos
BMW,6400,220,323
BMW,10800,246,530
BMW,12700,130,118
BMW,38500,140,520
Mitsubishi,5999,150,Lancer
Renault,9500,77,Megane
Volkswagen,12000,196,T5 (Transporter) 
Mercedes-Benz,38700,117,S 550
Mercedes-Benz,40000,119,ML 63 AMG
Mercedes-Benz,6900,311,Vito
Audi,24300,43,A4
Mitsubishi,17700,165,Pajero Wagon
Toyota,18999,153,Land Cruiser Prado
BMW,8300,200,740
Toyota,25000,80,FJ Cruiser
Mitsubishi,12499,142,Outlander XL
BMW,2899,340,524
BMW,19900,95,645
Audi,51000,44,Q7
Audi,81999,0,Q7
BMW,9500,400,735
Mitsubishi,10200,99,Outlander
Mercedes-Benz,5500,260,Vito
Volkswagen,18500,74,Passat CC
Volkswagen,11200,200,T4 (Transporter)
BMW,3099,320,320
Audi,27300,65,TT
Mitsubishi,9700,120,Galant
Mitsubishi,18900,127,Pajero Wagon
Audi,33500,67,Q5
Volkswagen,5500,400,T4 (Transporter)
Volkswagen,5300,270,Passat B5
Toyota,25500,200,Land Cruiser Prado
Toyota,23660,125,Highlander
Mitsubishi,5900,170,Lancer
Volkswagen,15900,150,Passat B7
Mercedes-Benz,105999,0,GLE-Class
Mercedes-Benz,18500,170,Vito
BMW,86999,0,X6
BMW,27800,170,520
Volkswagen,9000,275,T4 (Transporter)
Toyota,12200,185,Camry
Toyota,5800,200,Camry
Volkswagen,14499,164,T5 (Transporter) 
Audi,37000,170,Q7
Volkswagen,4500,199,Golf III
Audi,6557.85,327,A8
Renault,6800,219,Megane
BMW,37900,97,X6
Audi,14200,176,A6
Mitsubishi,9350,94,Lancer X
Toyota,3100,283,Corolla
Mitsubishi,8400,100,Pajero Wagon
Audi,30650,35,A4 Allroad
Audi,8800,298,A6
Mitsubishi,7699,254,Pajero Sport
Renault,6400,136,Kangoo
Volkswagen,16200,44,Golf VI
Volkswagen,4100,88,Vento
Mercedes-Benz,6800,235,C-Class
Volkswagen,10600,75,Polo
Toyota,13000,149,Rav 4
Toyota,6500,248,Avensis
Audi,25500,181,A6 Allroad
Volkswagen,28000,132,Amarok
Audi,3500,200,A8
Volkswagen,14899,165,Caddy
BMW,3500,300,530
BMW,3500,272,320
Volkswagen,71138,0,Touareg
Renault,9658.94,1,Logan
Volkswagen,13000,178,T6 (Transporter)
Toyota,8000,115,Corolla
BMW,56500,1,X5
Renault,9700,114,Kangoo
Mercedes-Benz,7300,176,A 140
Renault,9000,190,Megane
Volkswagen,17900,96,Passat B7
Volkswagen,10700,147,Passat B6
Mercedes-Benz,11600,186,E-Class
Volkswagen,15000,275,T5 (Transporter)
Volkswagen,8350,200,Golf V
Mercedes-Benz,7700,199,S 500
BMW,47000,5,Z4
Audi,72000,55,A8
Mitsubishi,17499,149,Pajero Wagon
Renault,11300,141,Megane
Toyota,8500,168,Corolla
Mercedes-Benz,14490,212,E-Class
Volkswagen,11999,176,T5 (Transporter) 
Volkswagen,4300,217,Golf III
BMW,35500,33,X1
Toyota,2800,421,Corolla
BMW,37976.25,0,520
Renault,10500,183,Trafic
Toyota,74999,1,Land Cruiser 200
Renault,7300,125,Kangoo
Mitsubishi,12200,140,Outlander XL
Mercedes-Benz,13600,199,Vito
Audi,5000,280,100
Renault,12800,188,Trafic
Volkswagen,12499,184,T6 (Transporter) 
Mitsubishi,2800,150,Galant
Renault,7300,200,Megane
Mitsubishi,6800,82,Lancer
Mitsubishi,9500,225,Outlander
Audi,15900,160,A3
Volkswagen,8900,180,Caddy
Toyota,16030,90,Camry
BMW,28000,170,520
Audi,10700,222,A6
Mercedes-Benz,7000,230,E-Class
Volkswagen,8800,260,T5 (Transporter) 
Volkswagen,35000,20,Tiguan
Audi,8000,200,A6
Mercedes-Benz,15400,260,E-Class
Volkswagen,7650,325,Passat B5
Mitsubishi,10600,52,Outlander
Renault,8200,192,Logan
BMW,45000,29,520
Volkswagen,5699,258,T4 (Transporter) 
Mercedes-Benz,13200,217,Viano
Volkswagen,11500,70,Caddy
Volkswagen,12700,213,T5 (Transporter) 
Volkswagen,12300,62,Polo
Mercedes-Benz,35500,100,S 350
Audi,15500,210,A4
Mercedes-Benz,33000,109,GLK 220
BMW,6500,280,320
Volkswagen,2350,11,Passat B5
Volkswagen,17900,130,Touareg
BMW,34500,160,X5
Renault,12300,99,Latitude
Mercedes-Benz,20500,193,CLS 350
BMW,75555,30,M5
Toyota,12800,145,Camry
Mercedes-Benz,12800,360,Vito
Audi,6900,327,A8
Volkswagen,17200,220,Touareg
Renault,6800,87,Symbol
Audi,14300,80,A8
Volkswagen,11600,169,Passat B7
Volkswagen,11990,231,T4 (Transporter)
BMW,77777,8,750
Mercedes-Benz,28500,65,E-Class
Audi,42700,75,Q7
Volkswagen,6950,217,Caddy
Volkswagen,7300,117,Polo
Mitsubishi,27565.2,1,Pajero Sport
Volkswagen,12900,145,Golf Variant
Volkswagen,5900,217,Bora
Mercedes-Benz,2600,111,A 140
Audi,2799,390,A6
Mitsubishi,21000,98,Pajero Sport
Audi,4999,231,A6
Volkswagen,6900,160,Bora
Mercedes-Benz,5800,366,S 320
Mitsubishi,15700,68,ASX
Volkswagen,74500,0,Touareg
Mercedes-Benz,22900,131,S 500
Mercedes-Benz,32000,96,ML 350
Mercedes-Benz,35300,3,CLA 200
Volkswagen,6900,320,Passat B5
BMW,7000,286,520
Volkswagen,35800,92,Touareg
Volkswagen,10700,60,Polo
BMW,23999,194,X5
Volkswagen,2700,300,Golf IV
Toyota,18200,146,Land Cruiser Prado
Audi,2450,325,A6
Audi,15800,123,A3
Volkswagen,9400,176,Passat B5
Mitsubishi,5800,230,Space Star
Volkswagen,13499,162,Passat B7
Volkswagen,39615,0,Passat B8
Toyota,23300,40,Rav 4
Audi,2100,217,A4
Mercedes-Benz,2700,337,230
Volkswagen,6700,16,Caddy
BMW,43163.25,0,X1
Toyota,28350,92,Rav 4
Toyota,29500,90,Land Cruiser Prado
Volkswagen,8200,258,Passat B5
Mercedes-Benz,10999,269,Sprinter 313
Renault,8299,19,Logan
Toyota,20500,105,Camry
Volkswagen,14500,168,T5 (Transporter) 
Toyota,17300,135,Camry
Mercedes-Benz,18700,105,S 500
Toyota,13200,38,Corolla
Volkswagen,2450,200,Jetta
Audi,55000,24,A7
Toyota,20000,135,Previa
Volkswagen,4000,266,Golf III
Mitsubishi,16900,120,Pajero Wagon
Mitsubishi,11450,60,Lancer X
Mercedes-Benz,24500,236,G 500
Renault,12350,64,Fluence
Mercedes-Benz,6900,239,E-Class
Toyota,30500,40,Land Cruiser Prado
Mitsubishi,8800,105,Lancer X
Audi,9700,249,A6
BMW,63500,33,X5
Mitsubishi,8900,96,Lancer X
Audi,1950,210,A4
Audi,4400,190,A6
Toyota,12450,162,Camry
Audi,3200,295,A6
Audi,12600,294,A8
Mercedes-Benz,4400,225,E-Class
Mercedes-Benz,3900,111,E-Class
Volkswagen,8499,101,Polo
Mercedes-Benz,8000,230,Vito
Volkswagen,3500,250,Beetle
Audi,11900,195,A6
Toyota,24800,43,Camry
Audi,3800,190,A6
Volkswagen,7500,230,Caddy
BMW,8999,270,528
Volkswagen,5000,326,T4 (Transporter)
Mercedes-Benz,21000,135,ML 350
Renault,4200,142,Kangoo
Mitsubishi,18000,160,Pajero Wagon
Volkswagen,8500,220,T4 (Transporter)
Renault,3750,232,Laguna
Volkswagen,9000,212,Caddy
Mitsubishi,6300,235,Pajero
BMW,8400,297,320
Volkswagen,17000,157,T5 (Transporter)
Volkswagen,3000,240,Jetta
Mercedes-Benz,21300,114,GL 450
BMW,16500,230,X5
Mercedes-Benz,7300,250,Sprinter 311
Mercedes-Benz,2300,300,E-Class
BMW,8200,250,540
Audi,35000,61,A6
Volkswagen,7800,193,Passat B5
Volkswagen,8200,157,Golf Plus
Audi,39999,45,Q5
Renault,11900,173,Trafic
Mercedes-Benz,3600,276,E-Class
Volkswagen,3399,201,Passat B3
BMW,2650,335,320
Mercedes-Benz,11700,103,A 150
BMW,2550,312,525
Mercedes-Benz,2550,367,E-Class
Audi,31700,32,A4
Mercedes-Benz,125000,18,S 350
BMW,20500,285,X5
Mitsubishi,2600,200,Lancer
BMW,2500,250,525
Mercedes-Benz,13200,182,Vito
Mercedes-Benz,31000,220,GL 320
Audi,30900,118,A4 Allroad
Mitsubishi,4750,167,Carisma
Toyota,8950,118,Auris
Renault,8300,177,Grand Scenic
Audi,6900,360,A6
BMW,69999,71,X5 M
Volkswagen,3250,255,Passat B5
Volkswagen,11900,91,Golf VI
Mitsubishi,9600,114,Eclipse
Mercedes-Benz,21200,206,C-Class
Toyota,102999,0,Land Cruiser 200
Mercedes-Benz,11900,277,Vito
Renault,9999,185,Kangoo
Renault,8500,57,Logan
Volkswagen,6500,385,T4 (Transporter)
Mitsubishi,8700,80,Lancer X
Volkswagen,8599,169,Caddy
Volkswagen,12700,156,Golf VI
Mitsubishi,7700,135,Lancer
Mitsubishi,8700,150,Galant
Mitsubishi,9300,95,Lancer X
Mercedes-Benz,3550,238,E-Class
Audi,29800,151,Q7
Renault,3900,202,Kangoo
Volkswagen,7000,345,T5 (Transporter) 
Audi,17700,70,TT
Toyota,9999,225,Camry
Audi,25300,180,A5
Audi,22500,175,A4 Allroad
Volkswagen,18600,2,Jetta
Mitsubishi,6999,160,Lancer
Toyota,16200,281,Land Cruiser 100
Toyota,18000,320,Land Cruiser 100
Mercedes-Benz,27300,144,E-Class
BMW,12000,218,X5
Volkswagen,1800,280,Passat B5
Audi,20500,106,A4
Volkswagen,10493,1,Polo
BMW,16800,154,330
BMW,8200,238,730
Mercedes-Benz,14500,171,Vito
Volkswagen,24500,62,Passat CC
Toyota,13250,96,Rav 4
Toyota,6400,250,Camry
Mercedes-Benz,29500,135,S 550
Volkswagen,69990,1,Multivan
Audi,2600,110,A6
Renault,10500,185,Megane
Volkswagen,27200,1,Tiguan
Mercedes-Benz,1350,360,E-Class
Toyota,13900,139,Camry
BMW,12800,194,745
Toyota,21200,135,Land Cruiser Prado
Mercedes-Benz,8700,196,E-Class
Toyota,8800,165,Avensis
Toyota,12900,129,Avensis
BMW,9500,339,530
BMW,10700,243,530
Volkswagen,10800,156,Caddy
Mitsubishi,2400,350,Galant
Renault,13300,132,Megane
BMW,34500,85,X5
BMW,57000,20,X6
Renault,7200,146,Kangoo
Toyota,23400,69,Camry
Toyota,48000,59,Land Cruiser Prado
Volkswagen,4200,1,Golf VI
Mercedes-Benz,6200,340,E-Class
BMW,2900,225,523
Mercedes-Benz,12700,199,Vito
Audi,16999,140,A6 Allroad
Volkswagen,13972.07,0,Polo
Mercedes-Benz,41900,95,S 500
Renault,6650,227,Megane
Mercedes-Benz,9200,280,E-Class
BMW,15300,250,525
Volkswagen,1450,100,T3 (Transporter)
Volkswagen,5900,278,Caddy
Mercedes-Benz,4900,282,E-Class
BMW,12900,260,330
Toyota,33333,73,FJ Cruiser
Volkswagen,7200,127,Polo
BMW,77777,1,X6
Mercedes-Benz,2300,175,A 140
Volkswagen,13000,235,Touareg
Volkswagen,3000,318,T4 (Transporter) 
Renault,7999,92,Kangoo
Mercedes-Benz,11000,250,Vito
BMW,81000,23,M5
BMW,3800,304,318
Audi,4400,340,100
Audi,3150,320,A6
Volkswagen,10900,287,T5 (Transporter)
Audi,3050,250,A6
Volkswagen,30385,0,Touran
BMW,20999,170,X5
Volkswagen,1500,255,Polo
Toyota,8500,200,Vista
Toyota,9200,115,Corolla
Toyota,20800,49,Camry
Renault,8100,206,Trafic
Volkswagen,13500,104,Passat B6
Renault,4900,218,Kangoo
Volkswagen,6600,136,Golf IV
Mitsubishi,1450,245,Pajero
Volkswagen,3600,320,Passat B3
Toyota,24000,51,Camry
Toyota,12700,130,Camry
Mercedes-Benz,14500,315,CL 500
BMW,2299,200,318
BMW,8900,234,735
Audi,30500,152,A6
Mercedes-Benz,4000,370,E-Class
Toyota,12900,137,Camry
Volkswagen,3300,200,Passat B3
Toyota,9800,178,Avensis
Renault,15200,173,Master
Volkswagen,4950,290,Passat B4
Volkswagen,55500,36,Touareg
Volkswagen,17900,188,Multivan
Mercedes-Benz,5900,271,ML 270
Toyota,20500,225,Land Cruiser 100
BMW,5000,300,318
Volkswagen,11500,100,T5 (Transporter) 
Volkswagen,2900,230,Golf IV
Mitsubishi,4800,247,Galant
Renault,1550,235,Laguna
Mitsubishi,16000,147,Pajero Sport
Volkswagen,6400,312,T4 (Transporter) 
BMW,5800,400,520
Mercedes-Benz,11000,263,E-Class
Renault,4500,305,Megane
Renault,14200,83,Koleos
BMW,71500,19,X5
Audi,6200,200,A4
Volkswagen,10500,130,Caddy
Toyota,12700,136,Camry
Audi,7000,126,80
BMW,4500,230,540
BMW,4800,400,525
Renault,11500,170,Grand Scenic
BMW,42000,33,X3
Mercedes-Benz,22600,165,ML 320
Volkswagen,9900,80,Polo
Mercedes-Benz,13500,259,Vito
Volkswagen,10600,140,Passat B6
Mercedes-Benz,12500,242,Vito
Renault,7499,123,Kangoo
Volkswagen,9999,118,Polo
Toyota,18600,73,Auris
Volkswagen,7600,225,Golf V
Volkswagen,9200,127,Golf V
Audi,3700,290,A4
BMW,26000,270,X5
BMW,12950,268,740
Mitsubishi,15200,193,Pajero Wagon
Audi,62000,24,A6 Allroad
Toyota,68500,1,Sienna
Volkswagen,2500,111,Golf IV
Volkswagen,2600,296,Golf IV
Mercedes-Benz,12250,300,Vito
Toyota,39900,94,Land Cruiser Prado
Volkswagen,1500,160,Golf IV
Mercedes-Benz,3700,270,S 350
BMW,8999,160,318
Mitsubishi,9900,200,L 200
Volkswagen,16800,249,Touareg
Volkswagen,23999,0,Jetta
Mercedes-Benz,36000,162,GL 320
Mitsubishi,15800,146,L 200
Volkswagen,19300,136,Passat B7
Renault,6450,148,Kangoo
Renault,4200,220,Kangoo
BMW,32000,52,X5
Toyota,12500,110,Camry
BMW,47900,178,X5
Mercedes-Benz,21999,200,E-Class
Toyota,7500,74,Yaris
Mercedes-Benz,125000,17,S 350
BMW,30500,110,X6
Volkswagen,17191.2,0,Jetta
Mercedes-Benz,45555,42,S 350
BMW,15200,227,525
Volkswagen,7800,226,T5 (Transporter) 
Volkswagen,22000,40,Golf VII
Mitsubishi,9300,156,Outlander
Mercedes-Benz,31900,97,E-Class
Mercedes-Benz,9350,160,Vito
BMW,32500,134,520
Renault,10200,151,Megane
Toyota,8200,200,Rav 4
Mercedes-Benz,7400,190,C-Class
Mitsubishi,14200,155,Outlander XL
Volkswagen,24900,1,Jetta
Mercedes-Benz,24300,150,S 350
Volkswagen,9300,176,T5 (Transporter)
Volkswagen,21000,130,Touareg
Audi,36000,145,Q7
Mitsubishi,22900,69,Outlander
Mercedes-Benz,9900,275,E-Class
Volkswagen,3950,288,Golf III
Toyota,28700,100,Highlander
Volkswagen,16900,121,T5 (Transporter) 
Mercedes-Benz,7300,245,E-Class
Mercedes-Benz,2200,400,190
Toyota,25500,103,Venza
Volkswagen,7650,260,Caddy
Toyota,22800,55,Camry
Renault,8900,170,Trafic
Renault,10990,118,Fluence
Mercedes-Benz,107777,0,GLS 350
Toyota,17000,95,Avensis
Renault,999,430,25
BMW,66500,0,X5
Volkswagen,4300,289,Passat B4
BMW,3350,295,320
Toyota,10400,87,Corolla
BMW,22700,216,X5
Renault,6700,102,Kangoo
Audi,3800,257,80
Volkswagen,10900,185,Golf VII
Mercedes-Benz,11000,300,Vito
Volkswagen,51900,30,Touareg
Mercedes-Benz,18900,232,E-Class
BMW,25500,148,535
Renault,14500,98,Fluence
BMW,7900,260,535
Audi,44800,95,Q7
Toyota,26200,73,Hilux
BMW,14000,164,X5
Renault,7900,300,Trafic
Volkswagen,10777,157,Caddy
Renault,8300,217,Trafic
Volkswagen,40000,1,Passat B8
Mercedes-Benz,16800,266,E-Class
Audi,43000,1,Q3
Toyota,22900,60,Camry
Audi,10900,225,A6
BMW,2550,280,316
Mercedes-Benz,18700,142,Viano
Toyota,3800,220,Carina
Mercedes-Benz,7700,290,Vito
BMW,112000,16,730
Mercedes-Benz,2600,280,Sprinter 312
Volkswagen,14900,165,Passat B7
Mitsubishi,11960,140,L 200
Mitsubishi,19800,130,Pajero Sport
Mercedes-Benz,12800,116,Vito
Mercedes-Benz,34000,69,E-Class
Audi,29999,97,S5
Mitsubishi,4900,250,Galant
BMW,12900,200,523
Mercedes-Benz,12600,300,E-Class
Volkswagen,9800,117,Caddy
Audi,3650,270,A6
Volkswagen,37900,73,Touareg
Volkswagen,17900,145,Touareg
BMW,37500,110,X6
BMW,27900,170,530
Volkswagen,10600,153,Caddy
Mercedes-Benz,39900,127,GL 550
Volkswagen,5200,260,Touran
Volkswagen,16999,105,Passat B7
Renault,8400,260,Trafic
Audi,30900,27,Q5
Mercedes-Benz,9500,248,Vito
Mitsubishi,12800,153,ASX
BMW,48900,60,X3
Renault,11600,165,Megane
Volkswagen,20200,22,Golf VII
Mercedes-Benz,12700,140,B 170
Toyota,17835,240,Land Cruiser Prado
Mercedes-Benz,30900,71,E-Class
Renault,9500,88,Fluence
Volkswagen,11500,192,Caddy
Renault,18932.55,0,Megane
Renault,11700,155,Megane
Renault,9900,201,Kangoo
Mercedes-Benz,19500,180,E-Class
Audi,3400,261,A6
Volkswagen,8200,102,Caddy
Toyota,15600,165,Camry
Toyota,47500,45,Land Cruiser Prado
Audi,33900,58,A5
Toyota,97500,2,Land Cruiser 200
Renault,15000,21,Fluence
Toyota,28999,86,Camry
Audi,15000,66,A1
Toyota,36000,66,Land Cruiser Prado
Toyota,19500,150,Land Cruiser Prado
Mercedes-Benz,5000,350,C-Class
Mercedes-Benz,17800,73,C-Class
Mercedes-Benz,5000,215,E-Class
Renault,3100,275,Clio
Renault,1200,240,9
BMW,3800,100,318
Renault,1999,260,Laguna
Mercedes-Benz,8800,330,S 500
Renault,8800,250,Trafic
Mercedes-Benz,15300,168,CLK 320
BMW,39900,5,520
Renault,7400,181,Trafic
Volkswagen,28000,163,Multivan
Volkswagen,12300,182,T6 (Transporter) 
Renault,3600,101,Megane
Toyota,8450,193,Corolla
Volkswagen,2500,297,Golf III
Toyota,9950,106,Corolla
Mercedes-Benz,23200,58,C-Class
Toyota,10500,124,Avensis
Mercedes-Benz,11200,280,E-Class
Volkswagen,9750,1,T5 (Transporter)
Toyota,20800,70,Land Cruiser Prado
Audi,33500,35,A5
Volkswagen,10000,66,Polo
Mitsubishi,2199,400,Galant
Audi,16800,47,A3
Mercedes-Benz,25500,200,GL 420
Audi,2099,314,A4
Toyota,20000,250,Land Cruiser 100
Volkswagen,7400,380,T4 (Transporter)
BMW,16500,150,325
Mercedes-Benz,43500,51,E-Class
Volkswagen,3100,118,Golf III
Mercedes-Benz,12100,310,E-Class
Mercedes-Benz,12000,230,Vito
Mitsubishi,33000,0,L 200
Renault,15672.15,0,Dokker
Renault,6600,134,Kangoo
Renault,12800,127,Megane
Renault,7200,73,Kangoo
BMW,21000,79,118
Mitsubishi,5900,92,Carisma
Volkswagen,9500,205,Passat B6
Renault,2100,270,Scenic
Toyota,8100,91,Auris
Mercedes-Benz,60000,140,G 55 AMG
BMW,2899,260,320
BMW,73900,57,M5
BMW,3400,191,320
BMW,26500,70,330
Mitsubishi,5800,186,Lancer
BMW,9999,200,318
Volkswagen,12999,95,Passat B6
Mercedes-Benz,75500,14,V 250
BMW,2499,210,318
Volkswagen,3500,201,Golf IV
Volkswagen,10000,283,T5 (Transporter)
Mitsubishi,7000,133,Lancer
Volkswagen,35999,84,Touareg
Mitsubishi,2900,350,Lancer
Volkswagen,32400,50,Tiguan
Mitsubishi,15000,95,Pajero Sport
Mitsubishi,7300,145,Lancer
Toyota,30500,7,Camry
BMW,6300,270,735
BMW,23500,180,X5
Volkswagen,10400,87,Polo
Volkswagen,22600,187,Touareg
Volkswagen,8900,128,Polo
Audi,8400,260,A4
Toyota,13300,158,Avensis
Mercedes-Benz,16500,152,Vito
Renault,4200,180,Kangoo
Volkswagen,18999,122,Passat CC
Mitsubishi,12400,52,Lancer X
Mitsubishi,3950,280,Pajero
Toyota,13850,24,Auris
Mitsubishi,5999,108,Colt
BMW,5400,404,525
Mercedes-Benz,28500,15,A 180
Mercedes-Benz,46900,10,E-Class
Renault,12000,81,Fluence
Volkswagen,29040,0,Jetta
Audi,9800,165,A3
BMW,7000,400,528
Volkswagen,12800,230,T5 (Transporter) 
BMW,8500,365,530
Toyota,3650,260,Corolla
Volkswagen,11500,51,Polo
Volkswagen,9800,130,Caddy
Renault,2350,380,Espace
Audi,21800,172,A4
Volkswagen,20300,139,Touareg
Mercedes-Benz,11800,167,E-Class
Renault,8400,248,Trafic
Mercedes-Benz,81500,1,GLE-Class
Toyota,14900,175,Camry
Mitsubishi,7500,79,Lancer
Volkswagen,9400,187,Golf V
Renault,8700,21,Sandero
Volkswagen,13700,134,Passat B6
Audi,4000,263,A4
Volkswagen,8950,206,Caddy
Audi,4299,307,100
Toyota,36500,2,Hilux
Mercedes-Benz,7600,315,Sprinter 312
Mitsubishi,9200,110,Outlander
Mercedes-Benz,13000,191,E-Class
Toyota,24000,132,Land Cruiser Prado
Mercedes-Benz,20900,250,ML 320
BMW,18500,79,530
Mercedes-Benz,2000,270,E-Class
Audi,2400,310,100
Renault,12399,177,Trafic
Toyota,15200,208,Rav 4
Audi,23800,205,Q7
Volkswagen,3000,275,Passat B5
Mercedes-Benz,4000,300,C-Class
Renault,7000,231,Scenic
Volkswagen,17900,92,Sharan
Audi,3400,223,A6
BMW,7000,227,730
Audi,98000,12,R8
Volkswagen,12650,167,T5 (Transporter) 
Volkswagen,39040,0,Passat CC
BMW,25500,187,X5
Volkswagen,9000,130,Polo
BMW,47300,10,X3
Renault,11500,177,Trafic
Mitsubishi,19000,47,ASX
Mercedes-Benz,18500,1,ML 350
Volkswagen,7170,176,Caddy
Mercedes-Benz,28000,250,GL 320
Audi,28500,74,A4
Volkswagen,25500,52,Scirocco
Mitsubishi,10999,281,Pajero Wagon
Mercedes-Benz,42500,100,S 500
Toyota,16800,165,Land Cruiser Prado
Volkswagen,17900,115,Passat B7
BMW,19900,218,335
Volkswagen,8750,200,T5 (Transporter)
Mercedes-Benz,111999,0,GLS 350
BMW,9500,217,320
Toyota,7500,98,Yaris
Mercedes-Benz,32500,254,GL 320
Audi,3700,273,A6
Mitsubishi,8500,135,Lancer X
Mercedes-Benz,109900,40,S 350
Mercedes-Benz,39900,88,CL 63 AMG
Mercedes-Benz,4700,260,E-Class
Audi,13200,182,A6 Allroad
Renault,6700,216,Kangoo
Volkswagen,23000,80,Passat CC
Volkswagen,6400,181,Caddy
Mercedes-Benz,97555,0,V 250
Audi,7900,242,A4
Mercedes-Benz,5300,380,E-Class
Toyota,24171.42,1,Camry
Audi,23400,112,A4
Toyota,10500,185,Corolla
Mercedes-Benz,4900,262,Vito
BMW,16300,258,X5
Renault,1300,265,Kangoo
Mercedes-Benz,6700,1,Vito
Renault,2850,315,Laguna
Mercedes-Benz,109999,0,GLS 350
Audi,3650,240,A6
Volkswagen,4100,350,Passat B5
Mercedes-Benz,9300,159,Vito
BMW,18500,250,X5
Mercedes-Benz,7600,384,E-Class
Mitsubishi,7300,112,Lancer
Renault,6700,220,Trafic
Toyota,14400,80,Camry
Toyota,10600,204,Avensis
Renault,10000,234,Laguna
Toyota,12999,160,Avalon
Renault,6800,168,Kangoo
Volkswagen,15850,98,Tiguan
Renault,6000,162,Kangoo
Volkswagen,44700,120,Sharan
Renault,5600,117,Kangoo
Mercedes-Benz,21500,159,E-Class
Renault,7600,183,Trafic
Volkswagen,9000,120,Polo
BMW,35500,235,730
Mitsubishi,5500,165,Lancer
Mercedes-Benz,32500,168,GL 320
BMW,18000,245,523
Mercedes-Benz,18000,147,Vito
Renault,10999,216,Megane
Mercedes-Benz,22700,140,S 500
Toyota,23500,75,Camry
Mercedes-Benz,10000,275,Sprinter 313
Volkswagen,7700,157,Caddy
Volkswagen,10900,185,Caddy
Audi,12999,225,A6 Allroad
BMW,67500,1,X5
Volkswagen,6800,325,T4 (Transporter)
Mitsubishi,4950,256,Galant
Renault,6999,65,Symbol
Volkswagen,29800,0,Golf VII
Mercedes-Benz,16500,386,Sprinter 313
BMW,6500,320,530
Renault,9999,100,Kangoo
Volkswagen,8500,200,Passat B5
Toyota,5750,160,Yaris
BMW,4950,1,730
BMW,19900,129,320
Mitsubishi,15900,180,Pajero Wagon
Toyota,13500,131,Rav 4
Volkswagen,18950,149,Touareg
BMW,75555,30,550
Volkswagen,3650,197,Passat B4
Volkswagen,16000,90,Tiguan
Toyota,21600,66,Camry
Toyota,9500,103,Auris
Audi,51500,28,Q7
